Line #,Key,en Version,ka Translation
184,ka.activerecord.attributes.research.title,Title,Title
185,ka.activerecord.attributes.research.summary,Summary,Summary
186,ka.activerecord.attributes.research.text,Text,Text
187,ka.activerecord.attributes.research.cover_image,Cover Image,Cover Image
188,ka.activerecord.attributes.research.slideshow,Sliedshow Image,Sliedshow Image
189,ka.activerecord.attributes.research.slideshows,Sliedshow Images,Sliedshow Images
190,ka.activerecord.attributes.research/translation.is_public,Is Public?,Is Public?
191,ka.activerecord.attributes.research/translation.published_at,Date Made Public,Date Made Public
192,ka.activerecord.attributes.research/translation.title,Title,Title
193,ka.activerecord.attributes.research/translation.summary,Summary,Summary
194,ka.activerecord.attributes.research/translation.text,Text,Text
195,ka.activerecord.attributes.role.name,Name,Name
196,ka.activerecord.attributes.role.is_illustrator,Is Illustrator?,Is Illustrator?
197,ka.activerecord.attributes.slideshow.image,Image,Image
198,ka.activerecord.attributes.slideshow.sort,Sort Order,Sort Order
199,ka.activerecord.attributes.slideshow.caption,Caption,Caption
200,ka.activerecord.attributes.slideshow/translation.caption,Caption,Caption
201,ka.activerecord.attributes.tag.name,Name,Name
202,ka.activerecord.attributes.user.email,Email,Email
203,ka.activerecord.attributes.user.name,Name,Name
204,ka.activerecord.attributes.user.role,Role,Role
205,ka.activerecord.attributes.user.roles.uploader,Uploader,Uploader
206,ka.activerecord.attributes.user.roles.editor,Editor,Editor
207,ka.activerecord.attributes.user.roles.admin,Admin,Admin
208,ka.activerecord.attributes.user.roles.superadmin,Super Admin,Super Admin
209,ka.crop_alignments.center,Center,Center
210,ka.crop_alignments.north,North,North
211,ka.crop_alignments.northwest,North West,North West
212,ka.crop_alignments.west,West,West
213,ka.crop_alignments.southwest,South West,South West
214,ka.crop_alignments.south,South,South
215,ka.crop_alignments.southeast,South East,South East
216,ka.crop_alignments.east,East,East
217,ka.crop_alignments.northeast,North East,North East
218,ka.labels.translations,Translation Fields,Translation Fields
219,ka.labels.illustration_count,Images on File,Images on File
220,ka.labels.issue_count,Issues on File,Issues on File
221,ka.labels.combined_publications_count,Source Images,Source Images
222,ka.labels.is_public_status,Public Status,Public Status
223,ka.labels.required_for_publication,Required fields for making public are missing,Required fields for making public are missing
224,ka.labels.language_error,%{lang} Error: %{msg},%{lang} Error: %{msg}
225,ka.labels.language_switcher,Language Switcher,Language Switcher
226,ka.labels.view,View,View
227,ka.labels.view_file,View PDF,View PDF
228,ka.labels.view_file_with_size,View %{name} PDF (%{size}),View %{name} PDF (%{size})
229,ka.labels.news,News,News
230,ka.labels.research,Research,Research
231,ka.labels.related_items,Releated Items,Releated Items
232,ka.labels.slideshow,Slideshow,Slideshow
233,ka.labels.publications,Sources,Sources
234,ka.labels.publication,Source,Source
235,ka.labels.illustrations,Images,Images
236,ka.labels.illustration,Image,Image
237,ka.labels.illustrators,Illustrators,Illustrators
238,ka.labels.people,People,People
239,ka.labels.issues,Issues,Issues
240,ka.labels.all_news,View All News,View All News
241,ka.labels.all_research,View All Research,View All Research
242,ka.labels.about,About,About
243,ka.labels.highlights,Highlights,Highlights
244,ka.labels.home,Home,Home
245,ka.labels.contact,Contact,Contact
246,ka.labels.followus,Follow us on:,Follow us on:
247,ka.labels.facebook,Facebook,Facebook
248,ka.labels.twitter,Twitter,Twitter
249,ka.labels.donors,Funding,Funding
250,ka.labels.partners,Partners,Partners
251,ka.labels.contributors,Contributors,Contributors
252,ka.labels.read_more,Read More,Read More
253,ka.labels.view_all,View All,View All
254,ka.labels.view_all_with_count,View All %{number} %{title} Records,View All %{number} %{title} Records
255,ka.labels.stats,Stats,Stats
256,ka.labels.journals,Journals,Journals
257,ka.labels.journal_issues,Journal Issues,Journal Issues
258,ka.labels.books,Books,Books
259,ka.labels.originals,Originals,Originals
260,ka.labels.languages,Languages,Languages
261,ka.labels.by,By,By
262,ka.labels.lived,Lived,Lived
263,ka.labels.roles,Roles,Roles
264,ka.labels.type,Type,Type
265,ka.labels.next,Next,Next
266,ka.labels.previous,Previous,Previous
267,ka.labels.view_bigger_image,Click to view the original image,Click to view the original image
268,ka.labels.view_annotations,View Annotations,View Annotations
269,ka.labels.annotations_for,Annotations For: %{name},Annotations For: %{name}
270,ka.labels.annotation_help,Click on numbers to view the annotation text,Click on numbers to view the annotation text
271,ka.labels.publication_date,Published,Published
272,ka.labels.list,View the records in a list view,View the records in a list view
273,ka.labels.grid,View the records in a grid view,View the records in a grid view
274,ka.labels.publication_dates.journal,Issue Dates,Issue Dates
275,ka.labels.publication_dates.book,Year,Year
276,ka.labels.publication_dates.original,Year,Year
277,ka.labels.filters,Filters,Filters
278,ka.labels.filter.search,Search,Search
