Line #,Key,en Version,ru Translation
126,ru.activerecord.attributes.person/translation.name,Name,Name
127,ru.activerecord.attributes.person/translation.last_name,Last Name,Last Name
128,ru.activerecord.attributes.person/translation.first_name,First Name,First Name
129,ru.activerecord.attributes.person/translation.bio,Biography,Biography
130,ru.activerecord.attributes.person_role.role,Role,Role
131,ru.activerecord.attributes.person_role.role_types.illustrator,Illustrator,Illustrator
132,ru.activerecord.attributes.person_role.role_types.editor,Editor,Editor
133,ru.activerecord.attributes.person_role.role_types.publisher,Publisher,Publisher
134,ru.activerecord.attributes.person_role.role_types.writer,Writer,Writer
135,ru.activerecord.attributes.person_role.role_types.printer,Printer,Printer
136,ru.activerecord.attributes.person_role.role_types.financier,Financier,Financier
137,ru.activerecord.attributes.person_role.role_types.official,Official,Official
138,ru.activerecord.attributes.person_role.role_types.subject,Subject,Subject
139,ru.activerecord.attributes.publication.publication_type,Source Type,Source Type
140,ru.activerecord.attributes.publication.publication_types.journal,Journal,Journal
141,ru.activerecord.attributes.publication.publication_types.book,Book,Book
142,ru.activerecord.attributes.publication.publication_types.original,Original,Original
143,ru.activerecord.attributes.publication.publication_language,Language,Language
144,ru.activerecord.attributes.publication.publication_language_id,Language,Language
145,ru.activerecord.attributes.publication.is_public,Is Public?,Is Public?
146,ru.activerecord.attributes.publication.published_at,Date Made Public,Date Made Public
147,ru.activerecord.attributes.publication.year,Year,Year
148,ru.activerecord.attributes.publication.title,Title,Title
149,ru.activerecord.attributes.publication.about,About,About
150,ru.activerecord.attributes.publication.editor,Editor,Editor
151,ru.activerecord.attributes.publication.publisher,Publisher,Publisher
152,ru.activerecord.attributes.publication.writer,Writer,Writer
153,ru.activerecord.attributes.publication.scanned_file,PDF File,PDF File
154,ru.activerecord.attributes.publication.cover_image,Cover Image,Cover Image
155,ru.activerecord.attributes.publication.publication_editor,Journal Editor,Journal Editor
156,ru.activerecord.attributes.publication.publication_editors,Journal Editors,Journal Editors
157,ru.activerecord.attributes.publication.editors,Editors,Editors
158,ru.activerecord.attributes.publication.publishers,Publishers,Publishers
159,ru.activerecord.attributes.publication.writers,Writers,Writers
160,ru.activerecord.attributes.publication.printers,Printers,Printers
161,ru.activerecord.attributes.publication.financiers,Financiers,Financiers
162,ru.activerecord.attributes.publication.officials,Officials,Officials
163,ru.activerecord.attributes.publication.subjects,Subjects,Subjects
164,ru.activerecord.attributes.publication.person_roles,Related People,Related People
165,ru.activerecord.attributes.publication.person_role,Related Person,Related Person
166,ru.activerecord.attributes.publication.updated_at,Last Updated,Last Updated
167,ru.activerecord.attributes.publication/translation.is_public,Is Public?,Is Public?
168,ru.activerecord.attributes.publication/translation.published_at,Date Made Public,Date Made Public
169,ru.activerecord.attributes.publication/translation.title,Title,Title
170,ru.activerecord.attributes.publication/translation.about,About,About
171,ru.activerecord.attributes.publication/translation.editor,Editor,Editor
172,ru.activerecord.attributes.publication/translation.publisher,Publisher,Publisher
173,ru.activerecord.attributes.publication/translation.writer,Writer,Writer
174,ru.activerecord.attributes.publication_editor.editors,Editors,Editors
175,ru.activerecord.attributes.publication_editor.publishers,Publishers,Publishers
176,ru.activerecord.attributes.publication_editor.year_start,Year Start,Year Start
177,ru.activerecord.attributes.publication_editor.year_end,Year End,Year End
178,ru.activerecord.attributes.publication_editor.person_roles,Related People,Related People
179,ru.activerecord.attributes.publication_editor.person_role,Related Person,Related Person
180,ru.activerecord.attributes.publication_language.is_active,Is Public?,Is Public?
181,ru.activerecord.attributes.publication_language.updated_at,Last Updated,Last Updated
182,ru.activerecord.attributes.publication_language/translation.language,Language,Language
183,ru.activerecord.attributes.related_item.related_item_type,Type,Type
184,ru.activerecord.attributes.related_item.related_item_types.publication,Source,Source
185,ru.activerecord.attributes.related_item.related_item_types.issue,Issue,Issue
186,ru.activerecord.attributes.related_item.related_item_types.illustration,Image,Image
187,ru.activerecord.attributes.related_item.related_item_types.person,Person,Person
188,ru.activerecord.attributes.related_item.publication_id,Source,Source
189,ru.activerecord.attributes.related_item.issue_id,Issue,Issue
190,ru.activerecord.attributes.related_item.illustration_id,Image,Image
191,ru.activerecord.attributes.related_item.person_id,Person,Person
192,ru.activerecord.attributes.research.is_public,Is Public?,Is Public?
193,ru.activerecord.attributes.research.published_at,Date Made Public,Date Made Public
194,ru.activerecord.attributes.research.title,Title,Title
195,ru.activerecord.attributes.research.summary,Summary,Summary
196,ru.activerecord.attributes.research.text,Text,Text
197,ru.activerecord.attributes.research.cover_image,Cover Image,Cover Image
198,ru.activerecord.attributes.research.slideshow,Sliedshow Image,Sliedshow Image
199,ru.activerecord.attributes.research.slideshows,Sliedshow Images,Sliedshow Images
200,ru.activerecord.attributes.research.updated_at,Last Updated,Last Updated
201,ru.activerecord.attributes.research/translation.is_public,Is Public?,Is Public?
202,ru.activerecord.attributes.research/translation.published_at,Date Made Public,Date Made Public
203,ru.activerecord.attributes.research/translation.title,Title,Title
204,ru.activerecord.attributes.research/translation.summary,Summary,Summary
205,ru.activerecord.attributes.research/translation.text,Text,Text
206,ru.activerecord.attributes.role.name,Name,Name
207,ru.activerecord.attributes.role.is_illustrator,Is Illustrator?,Is Illustrator?
208,ru.activerecord.attributes.role.updated_at,Last Updated,Last Updated
209,ru.activerecord.attributes.slideshow.image,Image,Image
210,ru.activerecord.attributes.slideshow.sort,Sort Order,Sort Order
211,ru.activerecord.attributes.slideshow.caption,Caption,Caption
212,ru.activerecord.attributes.slideshow/translation.caption,Caption,Caption
213,ru.activerecord.attributes.tag.name,Name,Name
214,ru.activerecord.attributes.tag.updated_at,Last Updated,Last Updated
215,ru.activerecord.attributes.user.email,Email,Email
216,ru.activerecord.attributes.user.name,Name,Name
217,ru.activerecord.attributes.user.role,Role,Role
218,ru.activerecord.attributes.user.roles.uploader,Uploader,Uploader
219,ru.activerecord.attributes.user.roles.editor,Editor,Editor
220,ru.activerecord.attributes.user.roles.admin,Admin,Admin
221,ru.activerecord.attributes.user.roles.superadmin,Super Admin,Super Admin
222,ru.activerecord.attributes.user.updated_at,Last Updated,Last Updated
223,ru.crop_alignments.center,Center,Center
224,ru.crop_alignments.north,North,North
225,ru.crop_alignments.northwest,North West,North West
226,ru.crop_alignments.west,West,West
227,ru.crop_alignments.southwest,South West,South West
228,ru.crop_alignments.south,South,South
229,ru.crop_alignments.southeast,South East,South East
230,ru.crop_alignments.east,East,East
231,ru.crop_alignments.northeast,North East,North East
232,ru.labels.translations,Translation Fields,Translation Fields
233,ru.labels.illustration_count,Images on File,Images on File
234,ru.labels.issue_count,Issues on File,Issues on File
235,ru.labels.combined_publications_count,Source Images,Source Images
236,ru.labels.is_public_status,Public Status,Public Status
237,ru.labels.required_for_publication,Required fields for making public are missing,Required fields for making public are missing
238,ru.labels.language_error,%{lang} Error: %{msg},%{lang} Error: %{msg}
239,ru.labels.language_switcher,Language Switcher,Language Switcher
240,ru.labels.view,View,View
241,ru.labels.view_file,View PDF,View PDF
242,ru.labels.view_file_with_size,View %{name} PDF (%{size}),View %{name} PDF (%{size})
243,ru.labels.news,News,News
244,ru.labels.research,Research,Research
245,ru.labels.related_items,Releated Items,Releated Items
246,ru.labels.slideshow,Slideshow,Slideshow
247,ru.labels.publications,Sources,Sources
248,ru.labels.publication,Source,Source
249,ru.labels.illustrations,Images,Images
250,ru.labels.illustration,Image,Image
251,ru.labels.illustrators,Illustrators,Illustrators
252,ru.labels.people,People,People
253,ru.labels.issues,Issues,Issues
