Line #,Key,en Version,hy Translation
93,hy.admin.actions.history_show.title,History for %{model_label} '%{object_label}',History for %{model_label} '%{object_label}'
94,hy.admin.actions.history_show.menu,History,History
95,hy.admin.actions.history_show.breadcrumb,History,History
96,hy.admin.actions.user_soft_delete.title,Delete %{model_label} '%{object_label}',Delete %{model_label} '%{object_label}'
97,hy.admin.actions.user_soft_delete.menu,Delete,Delete
98,hy.admin.actions.user_soft_delete.breadcrumb,Delete,Delete
99,hy.admin.actions.user_soft_delete.link,Delete '%{object_label}',Delete '%{object_label}'
100,hy.admin.actions.user_soft_delete.done,deleted,deleted
101,hy.admin.actions.changelog.title,Change Log,Change Log
102,hy.admin.actions.changelog.menu,Change Log,Change Log
103,hy.admin.actions.changelog.breadcrumb,Change Log,Change Log
104,hy.admin.actions.changelog.version,Version,Version
105,hy.admin.form.cancel,Cancel,Cancel
106,hy.admin.form.basic_info,Basic info,Basic info
107,hy.admin.form.required,Required,Required
108,hy.admin.form.optional,Optional,Optional
109,hy.admin.form.one_char,character,character
110,hy.admin.form.char_length_up_to,length up to,length up to
111,hy.admin.form.char_length_of,length of,length of
112,hy.admin.form.save,Save,Save
113,hy.admin.form.save_and_add_another,Save and add another,Save and add another
114,hy.admin.form.save_and_edit,Save and edit,Save and edit
115,hy.admin.form.all_of_the_following_related_items_will_be_deleted,? The following related items may be deleted or orphaned:,? The following related items may be deleted or orphaned:
116,hy.admin.form.are_you_sure_you_want_to_delete_the_object,Are you sure you want to delete this %{model_name},Are you sure you want to delete this %{model_name}
117,hy.admin.form.confirmation,"Yes, I'm sure","Yes, I'm sure"
118,hy.admin.form.bulk_delete,"The following objects will be deleted, which may delete or orphan some of their related dependencies:","The following objects will be deleted, which may delete or orphan some of their related dependencies:"
119,hy.admin.form.new_model,%{name} (new),%{name} (new)
120,hy.admin.export.confirmation,Export to %{name},Export to %{name}
121,hy.admin.export.select,Select fields to export,Select fields to export
122,hy.admin.export.select_all_fields,Select All Fields,Select All Fields
123,hy.admin.export.fields_from,Fields from %{name},Fields from %{name}
124,hy.admin.export.fields_from_associated,Fields from associated %{name},Fields from associated %{name}
125,hy.admin.export.display,Display %{name}: %{type},Display %{name}: %{type}
126,hy.admin.export.options_for,Options for %{name},Options for %{name}
127,hy.admin.export.empty_value_for_associated_objects,<empty>,<empty>
128,hy.admin.export.click_to_reverse_selection,Click to reverse selection,Click to reverse selection
129,hy.admin.export.csv.header_for_root_methods,%{name},%{name}
130,hy.admin.export.csv.header_for_association_methods,%{name} [%{association}],%{name} [%{association}]
131,hy.admin.export.csv.encoding_to,Encode to,Encode to
