Line #,Key,en Version,az Translation
161,az.activerecord.attributes.publication/translation.about,About,About
162,az.activerecord.attributes.publication/translation.editor,Editor,Editor
163,az.activerecord.attributes.publication/translation.publisher,Publisher,Publisher
164,az.activerecord.attributes.publication/translation.writer,Writer,Writer
165,az.activerecord.attributes.publication_editor.editors,Editors,Editors
166,az.activerecord.attributes.publication_editor.publishers,Publishers,Publishers
167,az.activerecord.attributes.publication_editor.year_start,Year Start,Year Start
168,az.activerecord.attributes.publication_editor.year_end,Year End,Year End
169,az.activerecord.attributes.publication_editor.person_roles,Related People,Related People
170,az.activerecord.attributes.publication_editor.person_role,Related Person,Related Person
171,az.activerecord.attributes.publication_language.is_active,Is Public?,Is Public?
172,az.activerecord.attributes.publication_language/translation.language,Language,Language
173,az.activerecord.attributes.related_item.related_item_type,Type,Type
174,az.activerecord.attributes.related_item.related_item_types.publication,Source,Source
175,az.activerecord.attributes.related_item.related_item_types.issue,Issue,Issue
176,az.activerecord.attributes.related_item.related_item_types.illustration,Image,Image
177,az.activerecord.attributes.related_item.related_item_types.person,Person,Person
178,az.activerecord.attributes.related_item.publication_id,Source,Source
179,az.activerecord.attributes.related_item.issue_id,Issue,Issue
180,az.activerecord.attributes.related_item.illustration_id,Image,Image
181,az.activerecord.attributes.related_item.person_id,Person,Person
182,az.activerecord.attributes.research.is_public,Is Public?,Is Public?
183,az.activerecord.attributes.research.published_at,Date Made Public,Date Made Public
184,az.activerecord.attributes.research.title,Title,Title
185,az.activerecord.attributes.research.summary,Summary,Summary
186,az.activerecord.attributes.research.text,Text,Text
187,az.activerecord.attributes.research.cover_image,Cover Image,Cover Image
188,az.activerecord.attributes.research.slideshow,Sliedshow Image,Sliedshow Image
189,az.activerecord.attributes.research.slideshows,Sliedshow Images,Sliedshow Images
190,az.activerecord.attributes.research/translation.is_public,Is Public?,Is Public?
191,az.activerecord.attributes.research/translation.published_at,Date Made Public,Date Made Public
192,az.activerecord.attributes.research/translation.title,Title,Title
193,az.activerecord.attributes.research/translation.summary,Summary,Summary
194,az.activerecord.attributes.research/translation.text,Text,Text
195,az.activerecord.attributes.role.name,Name,Name
196,az.activerecord.attributes.role.is_illustrator,Is Illustrator?,Is Illustrator?
197,az.activerecord.attributes.slideshow.image,Image,Image
198,az.activerecord.attributes.slideshow.sort,Sort Order,Sort Order
199,az.activerecord.attributes.slideshow.caption,Caption,Caption
200,az.activerecord.attributes.slideshow/translation.caption,Caption,Caption
201,az.activerecord.attributes.tag.name,Name,Name
202,az.activerecord.attributes.user.email,Email,Email
