Line #,Key,en Version,ru Translation
1,ru.views.pagination.first,&laquo; First,&laquo; First
2,ru.views.pagination.last,Last &raquo;,Last &raquo;
3,ru.views.pagination.previous,&lsaquo; Prev,&lsaquo; Prev
4,ru.views.pagination.next,Next &rsaquo;,Next &rsaquo;
5,ru.views.pagination.truncate,&hellip;,&hellip;
6,ru.helpers.page_entries_info.one_page.display_entries.zero,No %{entry_name} found,No %{entry_name} found
7,ru.helpers.page_entries_info.one_page.display_entries.one,Displaying <b>1</b> %{entry_name},Displaying <b>1</b> %{entry_name}
8,ru.helpers.page_entries_info.one_page.display_entries.other,Displaying <b>all %{count}</b> %{entry_name},Displaying <b>all %{count}</b> %{entry_name}
9,ru.helpers.page_entries_info.more_pages.display_entries,Displaying %{entry_name} <b>%{first}&nbsp;-&nbsp;%{last}</b> of <b>%{total}</b> in total,Displaying %{entry_name} <b>%{first}&nbsp;-&nbsp;%{last}</b> of <b>%{total}</b> in total
